Country name,Dystopia + residual,Explained by: Perceptions of corruption,Explained by: Generosity,Explained by: Freedom to make life choices,Explained by: Healthy life expectancy,Explained by: Social support,Explained by: Log GDP per capita,Regional indicator,Score,Rank,xText
Indonesia,0.371749298,0.008606174,0.10121609,0.111880262,0.08101029,0.147053321,0.178484565,Southeast Asia,5.345,82,"Indonesia ( #82, 5.345)"
Congo (Brazzaville),0.650692624,0.02321228,0.026956196,0.071321602,0.057469113,0.073380756,0.096967428,Sub-Saharan Africa,5.342,83,"Congo (Brazzaville) ( #83, 5.342)"
China,0.371230568,0.021914216,0.017418992,0.119123431,0.12455516,0.147031279,0.198726353,East Asia,5.339,84,"China ( #84, 5.339)"
Ivory Coast,0.653788164,0.017338862,0.033358462,0.082548059,0.009800226,0.077082548,0.126083679,Sub-Saharan Africa,5.306,85,"Ivory Coast ( #85, 5.306)"
Armenia,0.402612152,0.037478705,0.014953625,0.102214651,0.110732538,0.143479084,0.188529245,Commonwealth of Independent States,5.283,86,"Armenia ( #86, 5.283)"
Nepal,0.50142342,0.02562156,0.054469539,0.092617195,0.09413551,0.133232112,0.098500664,South Asia,5.269,87,"Nepal ( #87, 5.269)"
Bulgaria,0.346183061,0.000949487,0.023737182,0.093809343,0.110710216,0.200341815,0.224268895,Central and Eastern Europe,5.266,88,"Bulgaria ( #88, 5.266)"
Maldives,0.292363916,0.014041162,0.039238315,0.110598192,0.134064243,0.195229852,0.21446432,South Asia,5.198,89,"Maldives ( #89, 5.198)"
Azerbaijan,0.371108103,0.053374589,0.008315606,0.101721137,0.10462193,0.162637788,0.198220847,Commonwealth of Independent States,5.171,90,"Azerbaijan ( #90, 5.171)"
Cameroon,0.621474421,0.011281852,0.039875511,0.082668741,0.030927835,0.108150165,0.105621474,Sub-Saharan Africa,5.142,91,"Cameroon ( #91, 5.142)"
Senegal,0.598518807,0.017150653,0.030793218,0.074254531,0.06957708,0.108750731,0.10095498,Sub-Saharan Africa,5.132,92,"Senegal ( #92, 5.132)"
Albania,0.439796716,0.004691165,0.032838155,0.095973417,0.126270524,0.103401095,0.197028929,Central and Eastern Europe,5.117,93,"Albania ( #93, 5.117)"
North Macedonia,0.400313664,0.00431288,0.041560478,0.088217996,0.104881396,0.151342874,0.209370712,Central and Eastern Europe,5.101,94,"North Macedonia ( #94, 5.101)"
Ghana,0.527412065,0.011397131,0.052662606,0.101591668,0.056396149,0.116918845,0.133621537,Sub-Saharan Africa,5.088,95,"Ghana ( #95, 5.088)"
Niger,0.683878597,0.030942058,0.039416634,0.101694915,0.032912889,0.079227434,0.031927473,Sub-Saharan Africa,5.074,96,"Niger ( #96, 5.074)"
Turkmenistan,0.278073811,0.006512729,0.07223209,0.118807973,0.086639037,0.231300572,0.206433787,Commonwealth of Independent States,5.066,97,"Turkmenistan ( #97, 5.066)"
Gambia,0.592079208,0.024356436,0.092079208,0.076039604,0.041584158,0.101188119,0.072673267,Sub-Saharan Africa,5.051,98,"Gambia ( #98, 5.051)"
Benin,0.690325139,0.035289453,0.032910389,0.090602696,0.038858049,0.01149881,0.100515464,Sub-Saharan Africa,5.045,99,"Benin ( #99, 5.045)"
Laos,0.438170974,0.035586481,0.053280318,0.127833002,0.065606362,0.11888668,0.160636183,Southeast Asia,5.03,100,"Laos ( #100, 5.03)"
Bangladesh,0.48308121,0.032643312,0.032046178,0.120023885,0.102308917,0.103503185,0.126393312,South Asia,5.025,101,"Bangladesh ( #101, 5.025)"
Guinea,0.645006017,0.022262335,0.050140393,0.077015644,0.041315684,0.080024067,0.08423586,Sub-Saharan Africa,4.984,102,"Guinea ( #102, 4.984)"
South Africa,0.441283293,0.010290557,0.02905569,0.090193705,0.053470541,0.180589185,0.19511703,Sub-Saharan Africa,4.956,103,"South Africa ( #103, 4.956)"
Turkey,0.374292643,0.021018593,0.01960388,0.047696039,0.119240097,0.163500404,0.254648343,Middle East and North Africa,4.948,104,"Turkey ( #104, 4.948)"
Pakistan,0.564362457,0.019663491,0.051084533,0.084735455,0.065274681,0.085749037,0.129130347,South Asia,4.934,105,"Pakistan ( #105, 4.934)"
Morocco,0.55908074,0.017897092,0.006914785,0.097010372,0.113483832,0.044539353,0.161073826,Middle East and North Africa,4.918,106,"Morocco ( #106, 4.918)"
Venezuela,0.436426819,0.014717907,0.015944399,0.058053966,0.117334424,0.183360589,0.174161897,Latin America and Caribbean,4.892,107,"Venezuela ( #107, 4.892)"
Georgia,0.44805726,0.037014315,0.006543967,0.099795501,0.101840491,0.096114519,0.210633947,Commonwealth of Independent States,4.891,108,"Georgia ( #108, 4.891)"
Algeria,0.458674304,0.024549918,0.029459902,0.024345336,0.112929624,0.156505728,0.193535188,Middle East and North Africa,4.887,109,"Algeria ( #109, 4.887)"
Ukraine,0.371897436,0.002051282,0.037128205,0.085538462,0.106051282,0.196512821,0.200820513,Commonwealth of Independent States,4.875,110,"Ukraine ( #110, 4.875)"
Iraq,0.500412031,0.008446642,0.031520396,0.062216728,0.078491965,0.131437989,0.187474248,Middle East and North Africa,4.854,111,"Iraq ( #111, 4.854)"
Gabon,0.453533897,0.013187719,0.01195137,0.087368638,0.074593035,0.145683083,0.213682258,Sub-Saharan Africa,4.852,112,"Gabon ( #112, 4.852)"
Burkina Faso,0.648251604,0.02524312,0.03765777,0.078833023,0.037037037,0.097661908,0.075315539,Sub-Saharan Africa,4.834,113,"Burkina Faso ( #113, 4.834)"
Cambodia,0.444720497,0.0126294,0.043478261,0.145341615,0.088198758,0.140786749,0.12484472,Southeast Asia,4.83,114,"Cambodia ( #114, 4.83)"
Mozambique,0.580396246,0.033993743,0.047549531,0.126798749,0.040875912,0.132221064,0.038164755,Sub-Saharan Africa,4.794,115,"Mozambique ( #115, 4.794)"
Nigeria,0.574910696,0.008194999,0.044547174,0.090985501,0.010716537,0.131330111,0.139314982,Sub-Saharan Africa,4.759,116,"Nigeria ( #116, 4.759)"
Mali,0.638577176,0.015244548,0.034723693,0.081304256,0.023290282,0.124920601,0.081939445,Sub-Saharan Africa,4.723,117,"Mali ( #117, 4.723)"
Iran,0.386228814,0.030508475,0.069915254,0.058262712,0.118855932,0.118008475,0.218220339,Middle East and North Africa,4.721,118,"Iran ( #118, 4.721)"
Uganda,0.559844727,0.01164546,0.057580332,0.085831356,0.051757602,0.154841492,0.07849903,Sub-Saharan Africa,4.636,119,"Uganda ( #119, 4.636)"
Liberia,0.617596195,0.01232166,0.047773454,0.092952875,0.054690878,0.125378297,0.049286641,Sub-Saharan Africa,4.625,120,"Liberia ( #120, 4.625)"
Kenya,0.473192967,0.015845453,0.081397873,0.10484046,0.083568483,0.110266985,0.130887779,Sub-Saharan Africa,4.607,121,"Kenya ( #121, 4.607)"
Tunisia,0.465085926,0.00957146,0.012399391,0.07265608,0.128344573,0.112029585,0.199912987,Middle East and North Africa,4.596,122,"Tunisia ( #122, 4.596)"
Lebanon,0.378625954,0.005670665,0.030534351,0.038167939,0.129770992,0.189312977,0.227917121,Middle East and North Africa,4.584,123,"Lebanon ( #123, 4.584)"
Namibia,0.452120682,0.012898994,0.019895059,0.089855706,0.05728028,0.175120245,0.192829034,Sub-Saharan Africa,4.574,124,"Namibia ( #124, 4.574)"
Palestinian Territories,0.471773301,0.016603941,0.018153642,0.073057339,0.09608147,0.181315032,0.143015276,Middle East and North Africa,4.517,125,"Palestinian Territories ( #125, 4.517)"
Myanmar,0.317894261,0.0402169,0.117487573,0.135788522,0.077044736,0.161093538,0.150474469,Southeast Asia,4.426,126,"Myanmar ( #126, 4.426)"
Jordan,0.353356086,0.034129693,0.017974972,0.103526735,0.132650739,0.155858931,0.202502844,Middle East and North Africa,4.395,127,"Jordan ( #127, 4.395)"
Chad,0.736685032,0.019283747,0.049357208,0.055096419,0,0.081037649,0.058539945,Sub-Saharan Africa,4.355,128,"Chad ( #128, 4.355)"
Sri Lanka,0.248554913,0.01132948,0.055260116,0.129248555,0.137109827,0.189595376,0.228901734,South Asia,4.325,129,"Sri Lanka ( #129, 4.325)"
Swaziland,0.500232126,0.034122563,0.015552461,0.074976787,0.017177344,0.16086351,0.197075209,Sub-Saharan Africa,4.308,130,"Swaziland ( #130, 4.308)"
Comoros,0.608675373,0.023554104,0.056203358,0.047108209,0.065065299,0.085587687,0.11380597,Sub-Saharan Africa,4.289,131,"Comoros ( #131, 4.289)"
Egypt,0.384866885,0.021485287,0.016113965,0.104156936,0.099486221,0.151097618,0.222793087,Middle East and North Africa,4.283,132,"Egypt ( #132, 4.283)"
